Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Android Ver,Price in Dollars,Size(in MBs),Days Since Last Update,Update Freshness
ART_AND_DESIGN,4.5,215644,50000000,Free,Teen,Art & Design,4.2,0.0,25.0,61,Recently Updated
ART_AND_DESIGN,4.3,967,100000,Free,Everyone,Art & Design;Creativity,4.4,0.0,2.8,49,Recently Updated
ART_AND_DESIGN,4.4,167,50000,Free,Everyone,Art & Design,2.3,0.0,5.6,500,Outdated
ART_AND_DESIGN,4.1,36815,1000000,Free,Everyone,Art & Design,4.2,0.0,29.0,55,Recently Updated
ART_AND_DESIGN,4.4,13791,1000000,Free,Everyone,Art & Design,3.0,0.0,33.0,322,Moderately Updated
ART_AND_DESIGN,4.4,13880,1000000,Free,Everyone,Art & Design,4.1,0.0,28.0,285,Moderately Updated
ART_AND_DESIGN,4.4,8788,1000000,Free,Everyone,Art & Design,4.0,0.0,12.0,8,Recently Updated
ART_AND_DESIGN,4.2,44829,10000000,Free,Teen,Art & Design,4.1,0.0,20.0,128,Moderately Updated
ART_AND_DESIGN,4.6,4326,100000,Free,Everyone,Art & Design,4.4,0.0,21.0,43,Recently Updated
ART_AND_DESIGN,4.4,1518,100000,Free,Everyone,Art & Design,2.3,0.0,37.0,5,Recently Updated
ART_AND_DESIGN,3.2,55,5000,Free,Everyone,Art & Design,4.2,0.0,2.7,63,Recently Updated
ART_AND_DESIGN,4.7,3632,500000,Free,Everyone,Art & Design,4.1,0.0,5.5,8,Recently Updated
ART_AND_DESIGN,4.5,27,10000,Free,Everyone,Art & Design,2.3,0.0,17.0,274,Moderately Updated
ART_AND_DESIGN,4.6,224399,10000000,Free,Everyone,Art & Design,4.1,0.0,31.0,9,Recently Updated
ART_AND_DESIGN,4.0,450,100000,Free,Everyone,Art & Design,4.1,0.0,14.0,110,Moderately Updated
ART_AND_DESIGN,Unrated,61,100000,Free,Everyone,Art & Design;Action & Adventure,4.1,0.0,7.0,154,Moderately Updated
ART_AND_DESIGN,4.7,118,50000,Free,Everyone,Art & Design,4.1,0.0,23.0,32,Recently Updated
ART_AND_DESIGN,4.8,192,10000,Free,Everyone,Art & Design,3.0,0.0,6.0,105,Moderately Updated
ART_AND_DESIGN,3.9,136,10000,Free,Everyone,Art & Design,2.3,0.0,4.6,27,Recently Updated
ART_AND_DESIGN,4.1,223,100000,Free,Everyone,Art & Design,2.3,0.0,4.2,351,Moderately Updated
ART_AND_DESIGN,4.1,227,50000,Free,Everyone,Art & Design,2.3,0.0,5.2,69,Recently Updated
ART_AND_DESIGN,4.5,5035,100000,Free,Everyone,Art & Design,4.0,0.0,11.0,20,Recently Updated
ART_AND_DESIGN,4.2,1015,100000,Free,Everyone,Art & Design,4.1,0.0,11.0,214,Moderately Updated
ART_AND_DESIGN,4.7,353,10000,Free,Teen,Art & Design,4.1,0.0,4.2,103,Moderately Updated
ART_AND_DESIGN,3.8,564,100000,Free,Everyone,Art & Design,4.1,0.0,9.2,28,Recently Updated
ART_AND_DESIGN,4.7,8145,500000,Free,Everyone,Art & Design;Creativity,4.4,0.0,24.0,6,Recently Updated
ART_AND_DESIGN,4.0,591,500000,Free,Everyone,Art & Design,4.0,0.0,9.4,130,Moderately Updated
ART_AND_DESIGN,3.8,2206,100000,Free,Everyone,Art & Design;Creativity,4.1,0.0,1.2,115,Moderately Updated
ART_AND_DESIGN,4.2,26,10000,Free,Everyone,Art & Design,4.1,0.0,12.0,217,Moderately Updated
ART_AND_DESIGN,4.7,174531,10000000,Free,Everyone,Art & Design,4.1,0.0,24.0,8,Recently Updated
ART_AND_DESIGN,4.6,1070,100000,Free,Everyone,Art & Design,4.1,0.0,26.0,267,Moderately Updated
ART_AND_DESIGN,4.2,85,100000,Free,Everyone,Art & Design,4.1,0.0,8.0,234,Moderately Updated
ART_AND_DESIGN,4.3,845,100000,Free,Everyone,Art & Design,2.3,0.0,7.9,72,Recently Updated
AUTO_AND_VEHICLES,4.0,1598,1000000,Free,Everyone,Auto & Vehicles,4.1,0.0,56.0,13,Recently Updated
AUTO_AND_VEHICLES,3.8,284,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,57.0,13,Recently Updated
AUTO_AND_VEHICLES,3.9,129,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,35.0,13,Recently Updated
AUTO_AND_VEHICLES,4.3,542,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,33.0,8,Recently Updated
AUTO_AND_VEHICLES,4.9,10479,100000,Free,Everyone,Auto & Vehicles,4.0,0.0,33.0,21,Recently Updated
AUTO_AND_VEHICLES,4.4,805,50000,Free,Everyone,Auto & Vehicles,4.4,0.0,5.6,10,Recently Updated
AUTO_AND_VEHICLES,4.2,129,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,54.0,13,Recently Updated
AUTO_AND_VEHICLES,4.0,1403,100000,Free,Everyone,Auto & Vehicles,2.2,0.0,0.2,1443,Outdated
AUTO_AND_VEHICLES,3.9,3971,100000,Free,Everyone,Auto & Vehicles,4.4,0.0,3.6,9,Recently Updated
AUTO_AND_VEHICLES,4.9,7774,100000,Free,Everyone,Auto & Vehicles,4.2,0.0,17.0,36,Recently Updated
AUTO_AND_VEHICLES,4.3,38846,1000000,Free,Everyone,Auto & Vehicles,4.1,0.0,8.6,11,Recently Updated
AUTO_AND_VEHICLES,4.6,2431,100000,Free,Everyone,Auto & Vehicles,4.0,0.0,2.4,57,Recently Updated
AUTO_AND_VEHICLES,4.9,6090,100000,Free,Everyone,Auto & Vehicles,4.2,0.0,27.0,36,Recently Updated
AUTO_AND_VEHICLES,3.9,295,10000,Free,Everyone,Auto & Vehicles,4.4,0.0,2.7,9,Recently Updated
AUTO_AND_VEHICLES,4.0,190,50000,Free,Everyone,Auto & Vehicles,2.3,0.0,2.5,663,Outdated
AUTO_AND_VEHICLES,3.6,1379,500000,Free,Everyone,Auto & Vehicles,4.2,0.0,16.0,6,Recently Updated
AUTO_AND_VEHICLES,4.2,271920,10000000,Free,Teen,Auto & Vehicles,5.0,0.0,16.0,28,Recently Updated
AUTO_AND_VEHICLES,4.8,7021,500000,Free,Everyone,Auto & Vehicles,4.0,0.0,17.0,12,Recently Updated
AUTO_AND_VEHICLES,4.6,197,50000,Free,Everyone,Auto & Vehicles,4.0,0.0,3.4,55,Recently Updated
AUTO_AND_VEHICLES,4.5,737,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,8.9,61,Recently Updated
AUTO_AND_VEHICLES,4.3,3574,1000000,Free,Everyone 10+,Auto & Vehicles,4.0,0.0,3.9,35,Recently Updated
AUTO_AND_VEHICLES,4.5,994,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,2.9,134,Moderately Updated
AUTO_AND_VEHICLES,4.9,197136,1000000,Free,Everyone,Auto & Vehicles,4.1,0.0,38.0,24,Recently Updated
AUTO_AND_VEHICLES,3.9,142,50000,Free,Everyone,Auto & Vehicles,6.0,0.0,32.0,15,Recently Updated
AUTO_AND_VEHICLES,4.4,15168,1000000,Free,Everyone,Auto & Vehicles,4.2,0.0,37.0,12,Recently Updated
AUTO_AND_VEHICLES,4.0,2155,500000,Free,Everyone,Auto & Vehicles,5.0,0.0,15.0,9,Recently Updated
AUTO_AND_VEHICLES,3.7,5414,1000000,Free,Everyone,Auto & Vehicles,4.4,0.0,18.0,16,Recently Updated
AUTO_AND_VEHICLES,4.3,348,100000,Free,Everyone,Auto & Vehicles,2.3,0.0,38.0,10,Recently Updated
AUTO_AND_VEHICLES,4.5,3617,100000,Free,Everyone,Auto & Vehicles,4.1,0.0,7.9,84,Recently Updated
AUTO_AND_VEHICLES,4.0,1754,500000,Free,Everyone,Auto & Vehicles,4.0,0.0,14.0,67,Recently Updated
AUTO_AND_VEHICLES,4.0,1288,100000,Free,Everyone,Auto & Vehicles,4.0,0.0,4.5,109,Moderately Updated
BEAUTY,4.7,18900,500000,Free,Everyone,Beauty,5.0,0.0,17.0,6,Recently Updated
BEAUTY,4.9,49790,1000000,Free,Everyone,Beauty,4.1,0.0,14.0,272,Moderately Updated
BEAUTY,4.7,1150,100000,Free,Everyone,Beauty,4.1,0.0,9.8,85,Recently Updated
BEAUTY,4.2,2225,500000,Free,Everyone,Beauty,4.1,0.0,52.0,161,Moderately Updated
BEAUTY,4.3,8572,1000000,Free,Everyone,Beauty,4.0,0.0,25.0,90,Recently Updated
BEAUTY,4.7,964,50000,Free,Everyone,Beauty,4.2,0.0,9.0,48,Recently Updated
BEAUTY,4.3,601,100000,Free,Everyone,Beauty,4.0,0.0,35.0,67,Recently Updated
BEAUTY,4.5,36,10000,Free,Everyone,Beauty,4.0,0.0,6.7,13,Recently Updated
BEAUTY,Unrated,182,100000,Free,Everyone 10+,Beauty,3.0,0.0,5.7,322,Moderately Updated
BEAUTY,4.1,9315,1000000,Free,Everyone,Beauty,4.0,0.0,2.6,260,Moderately Updated
BEAUTY,4.6,38,10000,Free,Everyone,Beauty,4.0,0.0,7.1,71,Recently Updated
BEAUTY,4.5,26834,1000000,Free,Everyone,Beauty,5.0,0.0,57.0,15,Recently Updated
BEAUTY,Unrated,119,50000,Free,Everyone,Beauty,4.1,0.0,3.7,16,Recently Updated
BEAUTY,4.4,2280,500000,Free,Everyone,Beauty,4.0,0.0,24.0,86,Recently Updated
BEAUTY,Unrated,654,100000,Free,Teen,Beauty,4.1,0.0,7.4,22,Recently Updated
BEAUTY,4.6,184,10000,Free,Everyone,Beauty,4.1,0.0,21.0,37,Recently Updated
BEAUTY,3.8,9,5000,Free,Everyone,Beauty,4.0,0.0,3.4,62,Recently Updated
BEAUTY,Unrated,77,10000,Free,Mature 17+,Beauty,2.3,0.0,2.9,365,Moderately Updated
BEAUTY,Unrated,35,10000,Free,Everyone 10+,Beauty,3.0,0.0,3.1,240,Moderately Updated
BEAUTY,4.5,473,100000,Free,Mature 17+,Beauty,1.6,0.0,8.2,525,Outdated
BEAUTY,Unrated,30,10000,Free,Mature 17+,Beauty,3.0,0.0,9.9,196,Moderately Updated
BEAUTY,3.7,3871,1000000,Free,Everyone,Beauty,4.0,0.0,23.0,9,Recently Updated
BOOKS_AND_REFERENCE,4.5,1857,50000,Free,Everyone,Books & Reference,4.4,0.0,4.9,5,Recently Updated
BOOKS_AND_REFERENCE,4.6,4478,100000,Free,Everyone 10+,Books & Reference,4.0,0.0,9.5,373,Outdated
BOOKS_AND_REFERENCE,4.5,418,100000,Free,Everyone,Books & Reference,4.1,0.0,4.2,134,Moderately Updated
BOOKS_AND_REFERENCE,4.4,22486,1000000,Free,Teen,Books & Reference,4.0,0.0,5.4,63,Recently Updated
BOOKS_AND_REFERENCE,4.6,1435,500000,Free,Everyone,Books & Reference,4.0,0.0,2.8,199,Moderately Updated
BOOKS_AND_REFERENCE,4.6,90468,5000000,Free,Everyone,Books & Reference,2.3,0.0,5.9,73,Recently Updated
BOOKS_AND_REFERENCE,4.1,363934,10000000,Free,Everyone,Books & Reference,4.1,0.0,7.1,28,Recently Updated
BOOKS_AND_REFERENCE,4.3,17506,1000000,Free,Everyone,Books & Reference,4.1,0.0,17.0,19,Recently Updated
BOOKS_AND_REFERENCE,3.3,1862,1000000,Free,Everyone,Books & Reference,4.1,0.0,19.0,103,Moderately Updated
BOOKS_AND_REFERENCE,4.6,2084,500000,Free,Everyone,Books & Reference,2.3,0.0,6.7,83,Recently Updated
BOOKS_AND_REFERENCE,4.8,47303,1000000,Free,Everyone,Books & Reference,4.1,0.0,21.0,67,Recently Updated
BOOKS_AND_REFERENCE,Unrated,161,10000,Free,Everyone,Books & Reference,2.3,0.0,2.7,26,Recently Updated
BOOKS_AND_REFERENCE,4.1,85842,5000000,Free,Everyone,Books & Reference,4.0,0.0,37.0,44,Recently Updated
BOOKS_AND_REFERENCE,4.6,7831,100000,Free,Teen,Books & Reference,4.0,0.0,15.0,35,Recently Updated
BOOKS_AND_REFERENCE,4.1,91615,5000000,Free,Mature 17+,Books & Reference,4.1,0.0,23.0,40,Recently Updated
BOOKS_AND_REFERENCE,4.7,21336,1000000,Free,Everyone,Books & Reference,3.0,0.0,23.0,49,Recently Updated
BOOKS_AND_REFERENCE,3.9,1778,500000,Free,Mature 17+,Books & Reference,2.1,0.0,4.9,1392,Outdated
BOOKS_AND_REFERENCE,4.4,2709,1000000,Free,Everyone,Books & Reference,4.4,0.0,6.8,28,Recently Updated
BOOKS_AND_REFERENCE,4.5,527,100000,Free,Everyone,Books & Reference,4.0,0.0,2.9,130,Moderately Updated
BOOKS_AND_REFERENCE,4.9,2739,50000,Free,Everyone,Books & Reference,3.0,0.0,21.0,22,Recently Updated
BOOKS_AND_REFERENCE,4.6,1065,500000,Free,Everyone,Books & Reference,3.0,0.0,2.3,53,Recently Updated
BOOKS_AND_REFERENCE,Unrated,2,50000,Free,Everyone,Books & Reference,6.0,0.0,7.2,54,Recently Updated
BOOKS_AND_REFERENCE,4.4,8788,1000000,Free,Everyone,Books & Reference,4.0,0.0,10.0,11,Recently Updated
BOOKS_AND_REFERENCE,4.4,51269,1000000,Free,Everyone,Books & Reference,4.2,0.0,6.1,20,Recently Updated
BOOKS_AND_REFERENCE,3.5,156,500000,Free,Everyone,Books & Reference,2.2,0.0,42.0,174,Moderately Updated
BOOKS_AND_REFERENCE,Unrated,114,100000,Free,Everyone,Books & Reference,5.1,0.0,7.3,1097,Outdated
BOOKS_AND_REFERENCE,4.4,341157,10000000,Free,Everyone 10+,Books & Reference,4.2,0.0,30.0,141,Moderately Updated
BUSINESS,4.3,85185,5000000,Free,Everyone,Business,5.0,0.0,29.0,22,Recently Updated
BUSINESS,4.3,1002861,100000000,Free,Everyone,Business,4.1,0.0,35.0,6,Recently Updated
BUSINESS,4.8,148945,1000000,Free,Everyone,Business,5.0,0.0,25.0,20,Recently Updated
BUSINESS,4.5,4458,500000,Free,Everyone,Business,4.1,0.0,3.9,31,Recently Updated
BUSINESS,4.4,62272,10000000,Free,Everyone,Business,4.1,0.0,18.0,43,Recently Updated
BUSINESS,4.3,46353,1000000,Free,Everyone,Business,1.5,0.0,21.0,847,Outdated
BUSINESS,4.2,30847,5000000,Free,Everyone,Business,4.1,0.0,55.0,181,Moderately Updated
BUSINESS,4.6,188841,5000000,Free,Everyone,Business,4.0,0.0,3.2,48,Recently Updated
BUSINESS,3.1,4034,100000,Free,Everyone,Business,2.2,0.0,0.02,1062,Outdated
BUSINESS,3.9,45964,1000000,Free,Everyone,Business,4.1,0.0,16.0,21,Recently Updated
BUSINESS,4.1,6903,1000000,Free,Everyone,Business,4.1,0.0,14.0,29,Recently Updated
BUSINESS,4.4,31614,10000000,Free,Everyone,Business,4.0,0.0,37.0,19,Recently Updated
BUSINESS,4.5,207372,5000000,Free,Everyone,Business,4.0,0.0,11.0,6,Recently Updated
BUSINESS,4.4,1225,100000,Free,Everyone,Business,4.1,0.0,25.0,7,Recently Updated
BUSINESS,4.4,380837,10000000,Free,Everyone,Business,4.2,0.0,7.3,35,Recently Updated
BUSINESS,4.3,10600,1000000,Free,Everyone,Business,4.0,0.0,6.5,7,Recently Updated
BUSINESS,4.4,74359,1000000,Free,Everyone,Business,4.0,0.0,25.0,12,Recently Updated
